Id,ActivityDate,TotalSteps,TotalDistance,Calories
1503960366,4/12/2016,13162,8.5,1985
1503960366,4/13/2016,10735,6.96999979019165,1797
1503960366,4/14/2016,10460,6.73999977111816,1776
1503960366,4/15/2016,9762,6.28000020980835,1745
1503960366,4/16/2016,12669,8.15999984741211,1863
1503960366,4/17/2016,9705,6.48000001907349,1728
1503960366,4/18/2016,13019,8.59000015258789,1921
1503960366,4/19/2016,15506,9.88000011444092,2035
1503960366,4/20/2016,10544,6.67999982833862,1786
1503960366,4/21/2016,9819,6.34000015258789,1775
1503960366,4/22/2016,12764,8.13000011444092,1827
1503960366,4/23/2016,14371,9.03999996185303,1949
1503960366,4/24/2016,10039,6.40999984741211,1788
1503960366,4/25/2016,15355,9.80000019073486,2013
1503960366,4/26/2016,13755,8.78999996185303,1970
1503960366,4/27/2016,18134,12.210000038147,2159
1503960366,4/28/2016,13154,8.52999973297119,1898
1503960366,4/29/2016,11181,7.15000009536743,1837
1503960366,4/30/2016,14673,9.25,1947
1503960366,5/1/2016,10602,6.80999994277954,1820
1503960366,5/2/2016,14727,9.71000003814697,2004
1503960366,5/3/2016,15103,9.65999984741211,1990
1503960366,5/4/2016,11100,7.15000009536743,1819
1503960366,5/5/2016,14070,8.89999961853027,1959
1503960366,5/6/2016,12159,8.02999973297119,1896
1503960366,5/7/2016,11992,7.71000003814697,1821
1503960366,5/8/2016,10060,6.57999992370605,1740
1503960366,5/9/2016,12022,7.71999979019165,1819
1503960366,5/10/2016,12207,7.76999998092651,1859
1503960366,5/11/2016,12770,8.13000011444092,1783
1503960366,5/12/2016,0,0,0
1624580081,4/12/2016,8163,5.30999994277954,1432
1624580081,4/13/2016,7007,4.55000019073486,1411
1624580081,4/14/2016,9107,5.92000007629395,1572
1624580081,4/15/2016,1510,0.980000019073486,1344
1624580081,4/16/2016,5370,3.49000000953674,1463
1624580081,4/17/2016,6175,4.05999994277954,1554
1624580081,4/18/2016,10536,7.40999984741211,1604
1624580081,4/19/2016,2916,1.89999997615814,1435
1624580081,4/20/2016,4974,3.23000001907349,1446
1624580081,4/21/2016,6349,4.13000011444092,1467
1624580081,4/22/2016,4026,2.61999988555908,1470
1624580081,4/23/2016,8538,5.55000019073486,1562
1624580081,4/24/2016,6076,3.95000004768372,1617
1624580081,4/25/2016,6497,4.21999979019165,1492
1624580081,4/26/2016,2826,1.8400000333786,1402
1624580081,4/27/2016,8367,5.44000005722046,1670
1624580081,4/28/2016,2759,1.78999996185303,1401
1624580081,4/29/2016,2390,1.54999995231628,1404
1624580081,4/30/2016,6474,4.30000019073486,1655
1624580081,5/1/2016,36019,28.0300006866455,2690
1624580081,5/2/2016,7155,4.92999982833862,1497
1624580081,5/3/2016,2100,1.37000000476837,1334
1624580081,5/4/2016,2193,1.42999994754791,1368
1624580081,5/5/2016,2470,1.61000001430511,1370
1624580081,5/6/2016,1727,1.12000000476837,1341
1624580081,5/7/2016,2104,1.37000000476837,1474
1624580081,5/8/2016,3427,2.23000001907349,1427
1624580081,5/9/2016,1732,1.12999999523163,1328
1624580081,5/10/2016,2969,1.92999994754791,1393
1624580081,5/11/2016,3134,2.03999996185303,1359
1624580081,5/12/2016,2971,1.92999994754791,1002
1644430081,4/12/2016,10694,7.76999998092651,3199
1644430081,4/13/2016,8001,5.82000017166138,2902
1644430081,4/14/2016,11037,8.02000045776367,3226
1644430081,4/15/2016,5263,3.82999992370605,2750
1644430081,4/16/2016,15300,11.1199998855591,3493
1644430081,4/17/2016,8757,6.36999988555908,3011
1644430081,4/18/2016,7132,5.19000005722046,2806
1644430081,4/19/2016,11256,8.18000030517578,3300
1644430081,4/20/2016,2436,1.76999998092651,2430
1644430081,4/21/2016,1223,0.889999985694885,2140
1644430081,4/22/2016,3673,2.67000007629395,2344
1644430081,4/23/2016,6637,4.82999992370605,2677
1644430081,4/24/2016,3321,2.41000008583069,2413
1644430081,4/25/2016,3580,2.59999990463257,2497
1644430081,4/26/2016,9919,7.21000003814697,3123
1644430081,4/27/2016,3032,2.20000004768372,2489
1644430081,4/28/2016,9405,6.84000015258789,3108
1644430081,4/29/2016,3176,2.30999994277954,2498
1644430081,4/30/2016,18213,13.2399997711182,3846
1644430081,5/1/2016,6132,4.46000003814697,2696
1644430081,5/2/2016,3758,2.73000001907349,2580
1644430081,5/3/2016,12850,9.34000015258789,3324
1644430081,5/4/2016,2309,1.67999994754791,2222
1644430081,5/5/2016,4363,3.19000005722046,2463
